frame,time_sec,area,perimeter,ellipse_major,ellipse_minor,ellipse_angle,hu1,hu2,hu3,hu4,hu5,hu6,hu7
30,1.0010000000000001,53693.5,1845.3107422590256,164.45928955078125,530.4472045898438,89.60477447509766,0.2384975575197997,0.022588009402770576,0.00018376849330922076,5.971725458778378e-05,-6.105939239217427e-09,-8.829525140929085e-06,-1.3612406514486579e-09
61,2.0353666666666665,53633.0,1846.239673614502,166.227783203125,515.9058837890625,89.56576538085938,0.23875190349253178,0.022651217811615,0.00018516379606182683,6.042595413192112e-05,-6.2497437659468915e-09,-8.958432693700348e-06,-1.3393857494245682e-09
92,3.069733333333333,53607.0,1852.7249553203583,165.50791931152344,521.0928955078125,89.52822875976562,0.23880374266084733,0.022669161785776142,0.0001848012877787295,6.047578480959087e-05,-6.256239955148328e-09,-8.97192717473056e-06,-1.3166953796568258e-09
123,4.1041,53584.0,1851.5533826351166,164.6482696533203,530.8233032226562,89.64212036132812,0.23902848902622514,0.022733378627453504,0.00018844642744944573,6.122294643686776e-05,-6.454697477437716e-09,-9.119242318507259e-06,-1.2575179824743507e-09
154,5.138466666666667,53578.5,1849.3107415437698,164.98353576660156,527.4896850585938,89.77685546875,0.23900062791907697,0.022729555385282266,0.00018706796650615513,6.091208202321478e-05,-6.4003622948297646e-09,-9.09405745418494e-06,-1.1458216583529486e-09
185,6.172833333333333,53507.0,1842.7249554395676,163.52381896972656,530.5380859375,89.95467376708984,0.23920308268645585,0.02276460700880168,0.00018762872263113572,6.161099975839054e-05,-6.5226254645017116e-09,-9.204802042525207e-06,-1.1559030868156508e-09
216,7.2072,53480.5,1849.7960230112076,164.21693420410156,525.4756469726562,89.82291412353516,0.23928305246718476,0.02280431693503043,0.0001865825936664763,6.144247894143734e-05,-6.4699514275125785e-09,-9.179597016856848e-06,-1.1911079399995458e-09
247,8.241566666666667,53496.0,1842.7249549627304,164.01681518554688,527.4482421875,89.7295913696289,0.23917481075984565,0.022769556756404977,0.00018791961245350186,6.158237850244432e-05,-6.504758065401183e-09,-9.1810251409004e-06,-1.2552638606785924e-09
278,9.275933333333333,53281.0,1889.494506597519,165.5206298828125,518.4931030273438,90.37283325195312,0.23973972636185925,0.02306331542322332,0.00019288883613340318,6.261581853801072e-05,-6.68248141063044e-09,-9.279884388255658e-06,-1.6427801814432916e-09
309,10.3103,53416.0,1850.8670905828476,163.7217559814453,520.9007568359375,89.81220245361328,0.23936410863384422,0.022837542013749258,0.00018583341952056956,6.13080604729825e-05,-6.4657306981597e-09,-9.196715278269187e-06,-1.0085997119375268e-09
340,11.344666666666667,53270.0,1884.666079044342,167.240234375,493.35797119140625,90.20396423339844,0.23974042810703727,0.023050067378021642,0.00018848606487872755,6.185081503442995e-05,-6.5463069305888865e-09,-9.247844527545511e-06,-1.3205606618446052e-09
371,12.379033333333334,53275.0,1875.3523713350296,164.16867065429688,515.1441650390625,89.84537506103516,0.23994616067650992,0.02307104846176196,0.00018451057214356674,6.128048368068342e-05,-6.463835793840575e-09,-9.265179335986555e-06,-8.243732763910891e-10
402,13.413400000000001,53060.0,1907.8376531600952,167.4770965576172,494.74993896484375,90.07534790039062,0.24059578776065604,0.023398587647054044,0.0001874950063777496,6.189318792714865e-05,-6.569216728121521e-09,-9.35340251338416e-06,-1.1402415747776998e-09
433,14.447766666666666,53076.0,1881.8376533985138,164.31503295898438,512.2559814453125,89.57500457763672,0.24089239857085487,0.023352881371549186,0.0001896496039751904,6.327792997273245e-05,-6.904318013314101e-09,-9.651757195735701e-06,-6.181341828711305e-10
464,15.482133333333334,52840.5,1901.3940023183823,167.09725952148438,497.9061584472656,90.14920043945312,0.2416833674109351,0.023748598744299854,0.00020006636336416394,6.535996568281366e-05,-7.376374113920278e-09,-9.960057255310483e-06,-1.2042467389738781e-09
495,16.5165,52772.5,1909.1929911375046,167.42906188964844,497.0799865722656,89.93128967285156,0.24195207138374697,0.023837620432059742,0.00020621167489798804,6.66782281071853e-05,-7.723058988517836e-09,-1.0181704852767904e-05,-1.2189786510731302e-09
526,17.550866666666668,53007.5,1898.222428202629,166.00035095214844,506.1236877441406,89.71794891357422,0.24135209074275366,0.023483408038869506,0.00019429212133517212,6.460746035123937e-05,-7.227327130162022e-09,-9.896961517519033e-06,-4.0293141445858565e-10
557,18.585233333333335,53001.5,1915.5361368656158,161.6192169189453,540.4825439453125,89.9625244140625,0.2417564554543904,0.023546336513077925,0.0001992526656577438,6.62305091174197e-05,-7.580107140423127e-09,-1.014733981775473e-05,-6.546955377754311e-10
588,19.619600000000002,52256.0,1921.4356310367584,162.7645721435547,529.634033203125,90.13916015625,0.24652719248914218,0.02550777262291349,0.0003292411323789575,9.108046698003967e-05,-1.4891268908002215e-08,-1.3733690228393943e-05,5.197636810895758e-09
619,20.653966666666665,52405.5,1898.9087201356888,161.73927307128906,531.3153686523438,89.64315032958984,0.24587705832998555,0.02530491100021363,0.0002365078559093443,7.299384550049103e-05,-9.330848430105674e-09,-1.1238495842400003e-05,2.217560741315857e-09
650,21.688333333333333,52597.5,1948.849845290184,164.17335510253906,516.0615844726562,89.588623046875,0.24455735231346862,0.02477798521341245,0.00024980831872493297,7.496188263013879e-05,-1.0148559523227932e-08,-1.1643931315460647e-05,1.4946642960133549e-09
681,22.7227,52322.0,1902.1219239234924,166.57882690429688,495.9251708984375,89.58517456054688,0.2457616271050956,0.025297948996178623,0.0003061681015514208,8.557008290035541e-05,-1.3522276234871126e-08,-1.3265161845787737e-05,2.9970220664086626e-09
712,23.757066666666667,52167.0,1948.2640583515167,164.7532196044922,511.3750305175781,89.83216857910156,0.24634248597668124,0.02530232153569182,0.0002505805052143677,7.85726076066646e-05,-1.0687367980646409e-08,-1.2103156081004074e-05,2.7077284935892597e-09
743,24.791433333333334,52237.0,1941.2346196174622,166.16795349121094,506.8622131347656,89.89328002929688,0.2457812244676931,0.0250452178173279,0.0002445602939721765,7.752561948184466e-05,-1.0491767240441905e-08,-1.2044495382641748e-05,1.968438393529295e-09
774,25.8258,52144.5,1953.4772602319717,166.0673828125,508.5363464355469,89.69790649414062,0.24616400231580854,0.025183680940376763,0.00024344653101973732,7.771455858283947e-05,-1.0503048352063704e-08,-1.2107426495372494e-05,1.987541915873162e-09
805,26.860166666666668,52083.5,1985.6193969249725,165.7277374267578,512.6564331054688,89.59500885009766,0.24641012990473504,0.02532926941847853,0.00024803313699313823,7.832638556797265e-05,-1.0669277492192729e-08,-1.2169347631911628e-05,2.314068030163903e-09
836,27.894533333333335,52096.5,1980.7909700870514,165.56903076171875,513.418212890625,89.79951477050781,0.24626182173819683,0.025127550276949538,0.00023048521782242053,7.683437862407433e-05,-9.779027465725914e-09,-1.1646338133441328e-05,2.986168291895319e-09
867,28.928900000000002,52010.0,1999.0336101055145,165.13040161132812,508.6641845703125,89.82809448242188,0.24667587406436958,0.025294604557663577,0.00023884364974035863,7.913324658503873e-05,-1.0166238475269857e-08,-1.1749613803389162e-05,3.873460524175654e-09
898,29.963266666666666,51995.0,2013.6610267162323,163.1453399658203,529.1970825195312,89.82254791259766,0.24631482510137093,0.02525977098647933,0.000243081711983804,7.942180898038351e-05,-1.0126708571625533e-08,-1.1576050546559057e-05,4.385037188297578e-09
929,30.997633333333333,52046.5,2002.7909700870514,163.4084930419922,525.4360961914062,89.84300231933594,0.24608034936798026,0.02516917268068338,0.00022938041841653385,7.624933536203501e-05,-9.410244945723689e-09,-1.126429004815851e-05,3.6240968143160415e-09
960,32.032000000000004,52089.5,1985.477261543274,165.63446044921875,509.8172607421875,89.44444274902344,0.2456333025784906,0.02501810427728265,0.0002253628983556243,7.464752844639746e-05,-9.26818995139563e-09,-1.1280664452609335e-05,2.800262231927135e-09
991,33.06636666666667,52016.5,1965.6193964481354,166.95018005371094,497.94024658203125,89.51667022705078,0.24613258199604887,0.025209588755056102,0.00023323770859241653,7.641550659715128e-05,-9.745150075419261e-09,-1.1558961617519398e-05,3.0176633145664433e-09
1022,34.10073333333333,51917.0,1991.3767558336258,164.7794647216797,509.2112121582031,89.70403289794922,0.2468491436918991,0.025341911030252347,0.00023806049974103006,7.935795104637987e-05,-1.0185186186818223e-08,-1.1813871562845456e-05,3.903561820206665e-09
