frame_num,time_sec,time_min,x,y,width,height,area,detection
0,0.0,0.0,,,,,,False
1,0.03336666666666667,0.0005561111111111112,,,,,,False
2,0.06673333333333334,0.0011122222222222223,,,,,,False
3,0.10010000000000001,0.0016683333333333335,,,,,,False
4,0.13346666666666668,0.0022244444444444447,,,,,,False
5,0.16683333333333333,0.0027805555555555556,215.0,56.0,26.0,17.0,442.0,True
6,0.20020000000000002,0.003336666666666667,,,,,,False
7,0.23356666666666667,0.003892777777777778,,,,,,False
8,0.26693333333333336,0.004448888888888889,,,,,,False
9,0.3003,0.005005,,,,,,False
10,0.33366666666666667,0.005561111111111111,,,,,,False
11,0.3670333333333333,0.006117222222222222,,,,,,False
12,0.40040000000000003,0.006673333333333334,,,,,,False
13,0.4337666666666667,0.007229444444444445,,,,,,False
14,0.46713333333333334,0.007785555555555556,,,,,,False
15,0.5005000000000001,0.008341666666666667,112.0,125.0,12.0,11.0,132.0,True
16,0.5338666666666667,0.008897777777777779,,,,,,False
17,0.5672333333333334,0.00945388888888889,,,,,,False
18,0.6006,0.01001,,,,,,False
19,0.6339666666666667,0.010566111111111111,,,,,,False
20,0.6673333333333333,0.011122222222222223,,,,,,False
21,0.7007,0.011678333333333334,,,,,,False
22,0.7340666666666666,0.012234444444444444,,,,,,False
23,0.7674333333333333,0.012790555555555555,,,,,,False
24,0.8008000000000001,0.013346666666666668,,,,,,False
25,0.8341666666666667,0.01390277777777778,,,,,,False
26,0.8675333333333334,0.01445888888888889,,,,,,False
27,0.9009,0.015015,,,,,,False
28,0.9342666666666667,0.015571111111111112,,,,,,False
29,0.9676333333333333,0.016127222222222223,,,,,,False
30,1.0010000000000001,0.016683333333333335,,,,,,False
31,1.0343666666666667,0.017239444444444443,,,,,,False
32,1.0677333333333334,0.017795555555555558,,,,,,False
33,1.1011,0.018351666666666665,,,,,,False
34,1.1344666666666667,0.01890777777777778,,,,,,False
35,1.1678333333333333,0.019463888888888888,,,,,,False
36,1.2012,0.02002,,,,,,False
37,1.2345666666666666,0.02057611111111111,,,,,,False
38,1.2679333333333334,0.021132222222222222,,,,,,False
39,1.3013000000000001,0.021688333333333334,,,,,,False
40,1.3346666666666667,0.022244444444444445,,,,,,False
41,1.3680333333333334,0.022800555555555557,,,,,,False
42,1.4014,0.023356666666666668,,,,,,False
43,1.4347666666666667,0.02391277777777778,,,,,,False
44,1.4681333333333333,0.024468888888888887,,,,,,False
45,1.5015,0.025025000000000002,,,,,,False
46,1.5348666666666666,0.02558111111111111,,,,,,False
47,1.5682333333333334,0.02613722222222222,,,,,,False
48,1.6016000000000001,0.026693333333333336,,,,,,False
49,1.6349666666666667,0.027249444444444444,,,,,,False
50,1.6683333333333334,0.02780555555555556,,,,,,False
51,1.7017,0.028361666666666667,,,,,,False
52,1.7350666666666668,0.02891777777777778,,,,,,False
53,1.7684333333333333,0.02947388888888889,,,,,,False
54,1.8018,0.03003,,,,,,False
55,1.8351666666666666,0.03058611111111111,,,,,,False
56,1.8685333333333334,0.031142222222222224,,,,,,False
57,1.9019,0.031698333333333335,,,,,,False
58,1.9352666666666667,0.03225444444444445,,,,,,False
59,1.9686333333333335,0.03281055555555556,,,,,,False
60,2.0020000000000002,0.03336666666666667,,,,,,False
61,2.0353666666666665,0.033922777777777774,,,,,,False
62,2.0687333333333333,0.034478888888888885,,,,,,False
63,2.1021,0.035035000000000004,,,,,,False
64,2.135466666666667,0.035591111111111115,,,,,,False
65,2.168833333333333,0.03614722222222222,,,,,,False
66,2.2022,0.03670333333333333,,,,,,False
67,2.2355666666666667,0.03725944444444444,,,,,,False
68,2.2689333333333335,0.03781555555555556,,,,,,False
69,2.3023000000000002,0.03837166666666667,,,,,,False
70,2.3356666666666666,0.038927777777777776,,,,,,False
71,2.3690333333333333,0.03948388888888889,,,,,,False
72,2.4024,0.04004,,,,,,False
73,2.435766666666667,0.04059611111111112,,,,,,False
74,2.469133333333333,0.04115222222222222,,,,,,False
75,2.5025,0.04170833333333333,,,,,,False
76,2.5358666666666667,0.042264444444444445,,,,,,False
77,2.5692333333333335,0.042820555555555556,,,,,,False
78,2.6026000000000002,0.04337666666666667,,,,,,False
79,2.6359666666666666,0.04393277777777778,,,,,,False
80,2.6693333333333333,0.04448888888888889,,,,,,False
81,2.7027,0.045045,,,,,,False
82,2.736066666666667,0.04560111111111111,,,,,,False
83,2.769433333333333,0.04615722222222222,,,,,,False
84,2.8028,0.046713333333333336,,,,,,False
85,2.8361666666666667,0.04726944444444445,,,,,,False
86,2.8695333333333335,0.04782555555555556,,,,,,False
87,2.9029000000000003,0.04838166666666667,,,,,,False
88,2.9362666666666666,0.048937777777777774,,,,,,False
89,2.9696333333333333,0.049493888888888886,,,,,,False
90,3.003,0.050050000000000004,,,,,,False
